line_id;lineName;logoPath;type;isPriority;darkMode
fr-idf:IDFM:C01742;A;assets/logo/fr-idf/rer/RER_A_couleur_RVB.png;RAIL;1;0
fr-idf:IDFM:C01743;B;assets/logo/fr-idf/rer/RER_B_couleur_RVB.png;RAIL;1;0
fr-idf:IDFM:C01727;C;assets/logo/fr-idf/rer/RER_C_couleur_RVB.png;RAIL;1;0
fr-idf:IDFM:C01728;D;assets/logo/fr-idf/rer/RER_D_couleur_RVB.png;RAIL;1;0
fr-idf:IDFM:C01729;E;assets/logo/fr-idf/rer/RER_E_couleur_RVB.png;RAIL;1;0
fr-idf:IDFM:C01737;H;assets/logo/fr-idf/transilien/train_H_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01739;J;assets/logo/fr-idf/transilien/train_J_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01738;K;assets/logo/fr-idf/transilien/train_K_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01740;L;assets/logo/fr-idf/transilien/train_L_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01736;N;assets/logo/fr-idf/transilien/train_N_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01730;P;assets/logo/fr-idf/transilien/train_P_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01731;R;assets/logo/fr-idf/transilien/train_R_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01741;U;assets/logo/fr-idf/transilien/train_U_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C02711;V;assets/logo/fr-idf/transilien/train_V_couleur_RVB.png;RAIL;0;0
fr-idf:IDFM:C01371;1;assets/logo/fr-idf/metro/metro_1_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01372;2;assets/logo/fr-idf/metro/metro_2_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01373;3;assets/logo/fr-idf/metro/metro_3_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01386;3bis;assets/logo/fr-idf/metro/metro_3B_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01374;4;assets/logo/fr-idf/metro/metro_4_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01375;5;assets/logo/fr-idf/metro/metro_5_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01376;6;assets/logo/fr-idf/metro/metro_6_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01377;7;assets/logo/fr-idf/metro/metro_7_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01387;7bis;assets/logo/fr-idf/metro/metro_7B_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01378;8;assets/logo/fr-idf/metro/metro_8_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01379;9;assets/logo/fr-idf/metro/metro_9_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01380;10;assets/logo/fr-idf/metro/metro_10_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01381;11;assets/logo/fr-idf/metro/metro_11_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01382;12;assets/logo/fr-idf/metro/metro_12_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01383;13;assets/logo/fr-idf/metro/metro_13_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01384;14;assets/logo/fr-idf/metro/metro_14_couleur_RVB.png;SUBWAY;0;0
fr-idf:IDFM:C01389;T1;assets/logo/fr-idf/tram/tram_1_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01390;T2;assets/logo/fr-idf/tram/tram_2_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01391;T3a;assets/logo/fr-idf/tram/tram_3a_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01679;T3b;assets/logo/fr-idf/tram/tram_3b_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01843;T4;assets/logo/fr-idf/tram/tram_4_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01684;T5;assets/logo/fr-idf/tram/tram_5_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01794;T6;assets/logo/fr-idf/tram/tram_6_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01774;T7;assets/logo/fr-idf/tram/tram_7_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01795;T8;assets/logo/fr-idf/tram/tram_8_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C02317;T9;assets/logo/fr-idf/tram/tram_9_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C02528;T10;assets/logo/fr-idf/tram/tram_10_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C01999;T11;assets/logo/fr-idf/tram/tram_11_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C02529;T12;assets/logo/fr-idf/tram/tram_12_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C02344;T13;assets/logo/fr-idf/tram/tram_13_couleur_RVB.png;TRAM;0;1
fr-idf:IDFM:C02732;T14;assets/logo/fr-idf/tram/tram_14_couleur_RVB.png;TRAM;0;1
fr-star:5-1001;A;assets/logo/fr-star/metro/A.png;SUBWAY;0;0
fr-star:5-1002;B;assets/logo/fr-star/metro/B.png;SUBWAY;0;0
